Position Bucket,Display Rank,Player,Team,Bye Week,Floor,Points,Ceiling,SD,Uncertainty,VOR,Drop Off,Tier,Age,ADP,AAV,Rank - Overall,Rank - Position,ECR,Injury Status,Points Spread,Experience
K,21,Drew Stevens,WAS,7,,136,,,,-13.2,1.11,3,22,,,236,21,,,,0
K,22,Evan McPherson,CIN,6,107,135,154,18.2,77,-14.3,0.177,3,27,172,1.45,248,22,10.2,,47,5
K,23,Chris Boswell,PIT,9,127,134,140,5.99,50,-14.5,0.728,3,35,143,1.71,249,23,14.1,,13,12
K,24,Tyler Bass,BUF,7,102,134,145,19.1,83,-15.2,2.76,3,29,169,1.21,256,24,20.3,,43,6
K,25,Chad Ryland,ARI,14,126,131,137,4.53,27,-18,2.43,4,26,170,0.672,294,25,23.2,,11,3
K,26,Joey Slye,TEN,9,121,128,140,9.88,40,-20.4,0.0207,4,30,170,0,319,26,24.5,,19,7
K,27,Jake Moody,WAS,7,105,128,138,16.7,90,-20.4,3.33,4,26,170,0,321,27,26.1,,33,3
K,28,Riley Patterson,MIA,6,105,125,136,15,97,-23.8,5.58,4,26,,,353,28,33.5,,31,5
K,29,Ryan Fitzgerald,CAR,5,99.5,120,131,13.3,57,-29.3,2.41,4,25,170,0,405,29,25.2,,31.5,1
K,30,Matt Gay,LVR,13,89.6,117,129,16.9,70,-31.7,4.52,5,32,159,0,421,30,30.7,,39.4,7
K,31,Andre Szmyt,CLE,11,89.3,113,128,16.3,53,-36.3,3.38,5,27,170,0,456,31,31.4,,38.7,3
K,32,Jason Sanders,NYJ,13,75.8,109,139,35.6,93,-39.6,2.36,5,30,139,0,485,32,30.2,,63.2,8
DST,1,Texans,HOU,8,87.1,107,127,15.9,39,3.54,3.43,1,,109,3.92,109,1,1.31,,39.9,
DST,2,Seahawks,SEA,11,87.1,104,131,17.6,55,0.106,0.106,1,,122,2.38,128,2,3.38,,43.9,
DST,3,Broncos,DEN,10,90.2,104,119,11.5,16,0,9.48,2,,99.7,2.75,130,3,2.9,,28.8,
DST,4,Chargers,LAC,7,86.3,94.1,108,8.82,19,-9.48,0.209,2,,155,0.97,194,4,10.2,,21.7,
DST,5,Rams,LAR,11,84.2,93.9,103,8.66,10,-9.68,2.83,3,,114,3.76,197,5,3.33,,18.8,
DST,6,Bills,BUF,7,87.8,91.1,95.5,3.8,1,-12.5,0.753,4,,156,0.767,226,6,16,,7.7,
DST,7,Steelers,PIT,9,86.5,90.3,94.6,4,3,-13.3,0.0251,4,,141,1.27,238,7,8.74,,8.1,
DST,8,Browns,CLE,11,81.1,90.3,101,9.37,84,-13.3,0.0253,4,,156,0.95,239,8,14.9,,19.9,
DST,9,Lions,DET,6,81.2,90.3,107,10.8,35,-13.3,1.47,5,,155,1.28,240,9,14.4,,25.8,
DST,10,Vikings,MIN,6,81.3,88.8,104,9.62,58,-14.8,0.946,6,,149,0.853,253,10,8.48,,22.7,
DST,11,Eagles,PHI,10,78.2,87.9,97.9,8.65,6,-15.7,0.758,7,,127,1.38,263,11,5.33,,19.7,
DST,12,Saints,NO,8,78.3,87.1,98.6,8.28,65,-16.5,0.191,7,,168,0,273,12,18.8,,20.3,
DST,13,Ravens,BAL,13,77.3,86.9,98,8.66,32,-16.7,0.0769,7,,147,1.2,275,13,10.7,,20.7,
DST,14,Falcons,ATL,11,76.2,86.8,105,11.8,45,-16.8,0.701,8,,157,0,277,14,19,,28.8,
DST,15,Jaguars,JAC,7,79.5,86.1,94.3,6.81,13,-17.5,2,9,,162,0.903,285,15,8.83,,14.8,
DST,16,Patriots,NE,11,69.6,84.1,95.7,10.7,81,-19.5,0.384,9,,148,1.27,310,16,8.1,,26.1,
DST,17,Bears,CHI,10,72.6,83.8,91.2,7.8,61,-19.9,0.932,10,,153,0.1,314,17,20,,18.6,
DST,18,Titans,TEN,9,65.1,82.8,90.7,11.5,52,-20.8,0.0226,10,,187,0,325,18,26.2,,25.6,
DST,19,Commanders,WAS,7,64.7,82.8,96.2,14,94,-20.8,1.32,11,,158,0,327,19,26.8,,31.5,
DST,20,Giants,NYG,8,67.6,81.5,100,12.3,77,-22.1,0.219,12,,162,0.733,340,20,22.7,,32.4,
DST,21,Bengals,CIN,6,72.2,81.3,91.3,8.23,87,-22.3,1.19,13,,134,0,342,21,25.1,,19.1,
DST,22,Packers,GB,11,66.4,80.1,96,12.7,71,-23.5,0.926,14,,158,0.913,352,22,12.9,,29.6,
DST,23,Chiefs,KC,5,69.3,79.1,87.6,8.28,26,-24.5,0.779,14,,158,1.2,359,23,14.2,,18.3,
