scoring,source,season,last_updated,ranking,player,position,position_rank,team,bye,tier,rank_best,rank_worst,rank_average,rank_stddev,adp_rank,player_id,fantasypros_url
ppr,FantasyPros ECR,2026,8/13,35,Emeka Egbuka,WR,WR20,TB,10,5,14,55,37.09,8.83,38,23062,https://www.fantasypros.com/nfl/players/emeka-egbuka.php
ppr,FantasyPros ECR,2026,8/13,36,Colston Loveland,TE,TE3,CHI,10,5,22,87,37.45,12.89,43,26006,https://www.fantasypros.com/nfl/players/colston-loveland.php
ppr,FantasyPros ECR,2026,8/13,37,Jaylen Waddle,WR,WR21,DEN,10,5,18,59,37.82,7.66,47,19790,https://www.fantasypros.com/nfl/players/jaylen-waddle.php
ppr,FantasyPros ECR,2026,8/13,38,Derrick Henry,RB,RB12,BAL,13,5,17,56,37.84,8.40,18,15514,https://www.fantasypros.com/nfl/players/derrick-henry.php
ppr,FantasyPros ECR,2026,8/13,39,Jeremiyah Love,RB,RB13,ARI,14,5,22,65,38.18,7.26,25,25403,https://www.fantasypros.com/nfl/players/jeremiyah-love.php
ppr,FantasyPros ECR,2026,8/13,40,Drake Maye,QB,QB3,NE,11,5,26,92,38.61,14.36,52,23046,https://www.fantasypros.com/nfl/players/drake-maye.php
ppr,FantasyPros ECR,2026,8/13,41,Breece Hall,RB,RB14,NYJ,13,5,32,67,40.76,6.39,33,22982,https://www.fantasypros.com/nfl/players/breece-hall.php
ppr,FantasyPros ECR,2026,8/13,42,Kyren Williams,RB,RB15,LAR,11,5,23,56,42.20,6.87,31,23059,https://www.fantasypros.com/nfl/players/kyren-williams.php
ppr,FantasyPros ECR,2026,8/13,43,Josh Jacobs,RB,RB16,GB,11,5,29,61,43.65,7.10,30,18269,https://www.fantasypros.com/nfl/players/josh-jacobs.php
ppr,FantasyPros ECR,2026,8/13,44,Terry McLaurin,WR,WR22,WAS,7,5,26,68,44.76,6.47,53,18466,https://www.fantasypros.com/nfl/players/terry-mclaurin.php
ppr,FantasyPros ECR,2026,8/13,45,Luther Burden III,WR,WR23,CHI,10,5,28,68,45.50,6.25,48,27016,https://www.fantasypros.com/nfl/players/luther-burden-iii.php
ppr,FantasyPros ECR,2026,8/13,46,Joe Burrow,QB,QB4,CIN,6,5,27,72,45.55,12.30,56,19196,https://www.fantasypros.com/nfl/players/joe-burrow.php
ppr,FantasyPros ECR,2026,8/13,47,Javonte Williams,RB,RB17,DAL,14,5,31,58,45.65,6.34,32,22739,https://www.fantasypros.com/nfl/players/javonte-williams.php
ppr,FantasyPros ECR,2026,8/13,48,Davante Adams,WR,WR24,LAR,11,5,36,81,49.93,7.54,49,12123,https://www.fantasypros.com/nfl/players/davante-adams.php
ppr,FantasyPros ECR,2026,8/13,49,Jayden Daniels,QB,QB5,WAS,7,5,27,92,50.65,14.62,60,22902,https://www.fantasypros.com/nfl/players/jayden-daniels.php
ppr,FantasyPros ECR,2026,8/13,50,Travis Etienne Jr.,RB,RB18,NO,8,5,34,72,50.70,7.62,40,19231,https://www.fantasypros.com/nfl/players/travis-etienne.php
ppr,FantasyPros ECR,2026,8/13,51,DJ Moore,WR,WR25,BUF,7,6,28,100,53.00,10.81,57,17265,https://www.fantasypros.com/nfl/players/dj-moore-wr.php
ppr,FantasyPros ECR,2026,8/13,52,Tyler Warren,TE,TE4,IND,13,6,22,73,53.44,9.93,50,26434,https://www.fantasypros.com/nfl/players/tyler-warren.php
ppr,FantasyPros ECR,2026,8/13,53,Mike Evans,WR,WR26,SF,8,6,38,82,53.83,9.62,63,12119,https://www.fantasypros.com/nfl/players/mike-evans.php
ppr,FantasyPros ECR,2026,8/13,54,Cam Skattebo,RB,RB19,NYG,8,6,39,77,55.17,8.18,37,27166,https://www.fantasypros.com/nfl/players/cam-skattebo.php
ppr,FantasyPros ECR,2026,8/13,55,Jameson Williams,WR,WR27,DET,6,6,42,100,56.04,10.00,58,23677,https://www.fantasypros.com/nfl/players/jameson-williams.php
ppr,FantasyPros ECR,2026,8/13,56,Christian Watson,WR,WR28,GB,11,6,40,109,56.32,11.16,67,23886,https://www.fantasypros.com/nfl/players/christian-watson.php
ppr,FantasyPros ECR,2026,8/13,57,Jalen Hurts,QB,QB6,PHI,10,6,27,79,57.07,10.81,64,19275,https://www.fantasypros.com/nfl/players/jalen-hurts.php
ppr,FantasyPros ECR,2026,8/13,58,Bucky Irving,RB,RB20,TB,10,6,33,78,58.23,8.89,44,25981,https://www.fantasypros.com/nfl/players/bucky-irving.php
ppr,FantasyPros ECR,2026,8/13,59,Rome Odunze,WR,WR29,CHI,10,6,42,82,58.93,7.89,61,25411,https://www.fantasypros.com/nfl/players/rome-odunze.php
ppr,FantasyPros ECR,2026,8/13,60,D'Andre Swift,RB,RB21,CHI,10,6,43,77,59.71,7.59,55,19210,https://www.fantasypros.com/nfl/players/dandre-swift.php
ppr,FantasyPros ECR,2026,8/13,61,Quinshon Judkins,RB,RB22,CLE,11,6,43,78,61.24,8.76,45,25391,https://www.fantasypros.com/nfl/players/quinshon-judkins.php
ppr,FantasyPros ECR,2026,8/13,62,David Montgomery,RB,RB23,HOU,8,6,42,86,61.78,9.66,54,18239,https://www.fantasypros.com/nfl/players/david-montgomery.php
ppr,FantasyPros ECR,2026,8/13,63,TreVeyon Henderson,RB,RB24,NE,11,6,41,86,63.38,9.77,51,23065,https://www.fantasypros.com/nfl/players/treveyon-henderson.php
ppr,FantasyPros ECR,2026,8/13,64,Carnell Tate,WR,WR30,TEN,9,6,45,176,66.07,18.56,66,26009,https://www.fantasypros.com/nfl/players/carnell-tate.php
ppr,FantasyPros ECR,2026,8/13,65,Caleb Williams,QB,QB7,CHI,10,6,37,98,68.80,11.14,79,23084,https://www.fantasypros.com/nfl/players/caleb-williams.php
ppr,FantasyPros ECR,2026,8/13,66,Marvin Harrison Jr.,WR,WR31,ARI,14,6,48,96,69.45,11.17,71,23064,https://www.fantasypros.com/nfl/players/marvin-harrison-jr.php
ppr,FantasyPros ECR,2026,8/13,67,Bhayshul Tuten,RB,RB25,JAC,7,6,47,99,69.76,11.37,59,27297,https://www.fantasypros.com/nfl/players/bhayshul-tuten.php
ppr,FantasyPros ECR,2026,8/13,68,Justin Herbert,QB,QB8,LAC,7,6,37,105,70.29,12.08,87,18635,https://www.fantasypros.com/nfl/players/justin-herbert.php
ppr,FantasyPros ECR,2026,8/13,69,Parker Washington,WR,WR32,JAC,7,6,45,121,71.68,18.62,78,23106,https://www.fantasypros.com/nfl/players/parker-washington.php
ppr,FantasyPros ECR,2026,8/13,70,Tucker Kraft,TE,TE5,GB,11,6,32,111,72.83,12.40,69,25298,https://www.fantasypros.com/nfl/players/tucker-kraft.php
ppr,FantasyPros ECR,2026,8/13,71,Harold Fannin Jr.,TE,TE6,CLE,11,7,32,112,75.12,11.74,65,27050,https://www.fantasypros.com/nfl/players/harold-fannin-jr.php
ppr,FantasyPros ECR,2026,8/13,72,Jaylen Warren,RB,RB26,PIT,9,7,63,93,75.57,6.99,72,24209,https://www.fantasypros.com/nfl/players/jaylen-warren.php
ppr,FantasyPros ECR,2026,8/13,73,Jadarian Price,RB,RB27,SEA,11,7,43,89,75.83,8.72,62,27329,https://www.fantasypros.com/nfl/players/jadarian-price.php
ppr,FantasyPros ECR,2026,8/13,74,DK Metcalf,WR,WR33,PIT,9,7,49,116,78.04,13.90,76,18219,https://www.fantasypros.com/nfl/players/dk-metcalf.php
ppr,FantasyPros ECR,2026,8/13,75,Trevor Lawrence,QB,QB9,JAC,7,7,59,105,79.01,12.12,89,19780,https://www.fantasypros.com/nfl/players/trevor-lawrence.php
ppr,FantasyPros ECR,2026,8/13,76,Brian Thomas Jr.,WR,WR34,JAC,7,7,52,109,79.20,12.33,75,23000,https://www.fantasypros.com/nfl/players/brian-thomas-jr.php
ppr,FantasyPros ECR,2026,8/13,77,Dak Prescott,QB,QB10,DAL,14,7,37,105,80.44,12.63,77,15600,https://www.fantasypros.com/nfl/players/dak-prescott.php
ppr,FantasyPros ECR,2026,8/13,78,Chris Godwin Jr.,WR,WR35,TB,10,7,51,123,81.22,12.82,96,16406,https://www.fantasypros.com/nfl/players/chris-godwin.php
ppr,FantasyPros ECR,2026,8/13,79,Tony Pollard,RB,RB28,TEN,9,7,58,102,81.83,8.94,73,18705,https://www.fantasypros.com/nfl/players/tony-pollard.php
ppr,FantasyPros ECR,2026,8/13,80,Rhamondre Stevenson,RB,RB29,NE,11,7,65,103,82.30,8.34,83,22726,https://www.fantasypros.com/nfl/players/rhamondre-stevenson.php
ppr,FantasyPros ECR,2026,8/13,81,Kyle Pitts Sr.,TE,TE7,ATL,11,7,66,111,82.65,8.95,68,20164,https://www.fantasypros.com/nfl/players/kyle-pitts.php
ppr,FantasyPros ECR,2026,8/13,82,Michael Pittman Jr.,WR,WR36,PIT,9,7,40,118,82.87,13.62,92,19278,https://www.fantasypros.com/nfl/players/michael-pittman.php
